Dataset,Mouse ID,Laser,Speed,Intensity,Fit Lifetime,Empirical Lifetime
20220208_112_8_AChMut_RvR_001,112,1,0.0,436706.0,2.51034722321675,4.1734813842333605
20220208_112_8_AChMut_RvR_001,112,1,0.0,438443.5,2.5105753791062853,4.173170287025805
20220208_112_8_AChMut_RvR_001,112,1,0.0,439023.0,2.5119032582816603,4.17011817315283
20220208_112_8_AChMut_RvR_001,112,1,0.0,441607.5,2.5094160920326947,4.168044426425061
20220208_112_8_AChMut_RvR_001,112,1,0.0,443215.0,2.511861912476495,4.17072761081361
20220208_112_8_AChMut_RvR_001,112,1,0.0,443698.5,2.511171117107315,4.1697894179837895
20220208_112_8_AChMut_RvR_001,112,1,0.0,444237.0,2.51173235188788,4.172258031860645
20220208_112_8_AChMut_RvR_001,112,1,0.0,444651.0,2.5102875034559102,4.169937072680829
20220208_112_8_AChMut_RvR_001,112,1,0.0,444093.0,2.5115141475257348,4.170020454502096
20220208_112_8_AChMut_RvR_001,112,1,0.0,443473.0,2.5085209547573597,4.169670362869629
20220208_112_8_AChMut_RvR_001,112,1,0.0,444977.5,2.51140600736806,4.170205418515881
20220208_112_8_AChMut_RvR_001,112,1,0.0,445715.0,2.512474651080285,4.1714386940619
20220208_112_8_AChMut_RvR_001,112,1,0.0,445328.5,2.51214205917611,4.1711489691769055
20220208_112_8_AChMut_RvR_001,112,1,0.0,444987.0,2.51252389744558,4.171890118386274
20220208_112_8_AChMut_RvR_001,112,1,0.0,446005.0,2.51600011439861,4.17168799903592
20220208_112_8_AChMut_RvR_001,112,1,0.0,444536.5,2.51162269379872,4.169669463963405
20220208_112_8_AChMut_RvR_001,112,1,0.0,444850.0,2.51177848164148,4.1709806830191996
20220208_112_8_AChMut_RvR_001,112,1,0.0,444887.0,2.511320655638785,4.169875593695631
20220208_112_8_AChMut_RvR_001,112,1,0.0,444341.0,2.5101055486123,4.169070215743879
20220208_112_8_AChMut_RvR_001,112,1,0.0,444250.0,2.50901041878087,4.1690121501780295
20220208_112_8_AChMut_RvR_001,112,1,0.0,444410.0,2.508525987610045,4.168587871068009
20220208_112_8_AChMut_RvR_001,112,1,0.0,444156.5,2.509720470613335,4.16932658228198
20220208_112_8_AChMut_RvR_001,112,1,16.235366666666668,446189.5,2.5093278996904846,4.166799929565425
20220208_112_8_AChMut_RvR_001,112,1,12.259342857142856,444315.0,2.5069028145336203,4.16473767212864
20220208_112_8_AChMut_RvR_001,112,1,10.050433333333334,447121.0,2.51197569108986,4.1713197297928195
20220208_112_8_AChMut_RvR_001,112,1,9.277333333333333,448033.5,2.5099754642901697,4.17005217037442
20220208_112_8_AChMut_RvR_001,112,1,10.823566666666666,449045.0,2.51279385237569,4.17026136515619
20220208_112_8_AChMut_RvR_001,112,1,12.75635,451222.0,2.5109317493996404,4.16763059405747
20220208_112_8_AChMut_RvR_001,112,1,10.823566666666666,448822.5,2.5080891434315147,4.164751025383495
20220208_112_8_AChMut_RvR_001,112,1,10.05045,444536.0,2.5100598729364,4.16725284870095
20220208_112_8_AChMut_RvR_001,112,1,10.050466666666667,447077.0,2.50930507055757,4.16768939709382
20220208_112_8_AChMut_RvR_001,112,1,7.34455,446644.5,2.50663688009549,4.165467256441184
20220208_112_8_AChMut_RvR_001,112,1,9.277333333333333,445640.0,2.50201009521953,4.15698404948858
20220208_112_8_AChMut_RvR_001,112,1,10.05045,445970.5,2.500481576443045,4.160428549273336
20220208_112_8_AChMut_RvR_001,112,1,7.6206571428571435,444222.0,2.49568568239225,4.152533152577775
20220208_112_8_AChMut_RvR_001,112,1,9.277316666666668,441953.5,2.494592834551835,4.152128122076659
20220714_PM28_123_AChmut_RvR_001,123,1,0.0,263748.0,2.38681421956671,4.27739922034988
20220714_PM28_123_AChmut_RvR_001,123,1,0.0,263357.0,2.3863141599298703,4.27545072534422
20220714_PM28_123_AChmut_RvR_001,123,1,0.0,261964.0,2.38067351202359,4.2769513871984906
20220714_PM28_123_AChmut_RvR_001,123,1,0.0,259856.0,2.3906357933185296,4.28356020861431
20220714_PM28_123_AChmut_RvR_001,123,1,0.0,261184.0,2.3924849056744,4.28441718120345
20220714_PM28_123_AChmut_RvR_001,123,1,0.0,261093.0,2.39043975675476,4.2863952843723006
20220714_PM28_123_AChmut_RvR_001,123,1,0.0,261462.0,2.3909093126417202,4.287386131147105
20220714_PM28_123_AChmut_RvR_001,123,1,0.0,262078.0,2.395011900687295,4.287695896121599
20220714_PM28_123_AChmut_RvR_001,123,1,0.0,261841.0,2.39024359961502,4.28353747990195
20220714_PM28_123_AChmut_RvR_001,123,1,0.0,260732.5,2.38796674918809,4.284288092384255
20220714_PM28_123_AChmut_RvR_001,123,1,0.0,259962.5,2.3868856973805097,4.28093604185343
20220714_PM28_123_AChmut_RvR_001,123,1,0.0,260537.0,2.38964438925888,4.279809456406411
20220714_PM28_123_AChmut_RvR_001,123,1,0.0,258485.5,2.38364941334973,4.278168108948726
20220714_PM28_123_AChmut_RvR_001,123,1,13.529433333333333,262999.0,2.384883375157705,4.26378435868191
20220714_PM28_123_AChmut_RvR_001,123,1,17.395033333333334,256943.0,2.37551683839783,4.26270837553803
20220714_PM28_123_AChmut_RvR_001,123,1,15.848816666666666,262337.5,2.374806049428385,4.268629982242145
20220714_PM28_123_AChmut_RvR_001,123,1,15.075699999999998,259447.0,2.3814942371919,4.26795102817025
20220714_PM28_123_AChmut_RvR_001,123,1,17.008466666666667,263245.5,2.381461917504365,4.2697325940069195
20220714_PM28_123_AChmut_RvR_001,123,1,17.395016666666667,261607.5,2.37729008035255,4.271708187441525
20220714_PM28_123_AChmut_RvR_001,123,1,20.874033333333333,255363.0,2.37915594479888,4.26776184542208
20220714_PM28_123_AChmut_RvR_001,123,1,14.247357142857142,255987.5,2.3842197983886697,4.27029916657297
20220714_PM28_123_AChmut_RvR_001,123,1,19.3278,260543.0,2.38433155710381,4.27322969755367
20220714_PM28_123_AChmut_RvR_001,123,1,17.008466666666667,255162.5,2.37667866067369,4.271953664190844
20220714_PM28_123_AChmut_RvR_001,123,1,15.462266666666666,250446.0,2.3842026302363197,4.276906854928194
20220714_PM28_123_AChmut_RvR_001,123,1,16.23535,252565.5,2.384516330031145,4.273010811238265
20220714_PM28_123_AChmut_RvR_001,123,1,20.874042857142857,251193.0,2.3842320101752703,4.274637510693
20220714_PM28_123_AChmut_RvR_001,123,1,18.55466666666667,251357.5,2.38899701649372,4.275831622928051
20220714_PM28_123_AChmut_RvR_001,123,1,12.922042857142857,255506.0,2.38449250828579,4.282819301498035
20220714_PM28_123_AChmut_RvR_001,123,1,17.892042857142858,257096.0,2.38801907601728,4.2808824100856695
20220714_PM28_123_AChmut_RvR_001,123,1,17.395016666666667,254433.5,2.38474528784787,4.277805943761165
20220714_PM28_123_AChmut_RvR_001,123,1,19.327816666666667,256193.0,2.384231424929155,4.2834229730333
20220208_109_AChMut_RvR_001,109,1,0.0,338124.0,2.49584592827283,4.1534892376633294
20220208_109_AChMut_RvR_001,109,1,0.0,337078.5,2.49614215147961,4.15467362595603
20220208_109_AChMut_RvR_001,109,1,0.0,336687.0,2.4951835834835396,4.15315779845879
20220208_109_AChMut_RvR_001,109,1,0.0,335990.0,2.490409239778215,4.1524944495300655
20220208_109_AChMut_RvR_001,109,1,0.0,332915.0,2.49390380506079,4.156003330625009
20220208_109_AChMut_RvR_001,109,1,0.0,332465.0,2.49371052759535,4.155435058968001
20220208_109_AChMut_RvR_001,109,1,0.0,331696.0,2.4934170141438,4.15751145753106
20220208_109_AChMut_RvR_001,109,1,0.0,326315.0,2.48546871027206,4.1472118622798
20220208_109_AChMut_RvR_001,109,1,8.657757142857143,337403.0,2.4983984117617,4.14421580480547
20220208_109_AChMut_RvR_001,109,1,13.9856,338240.0,2.4942965509381647,4.152809609189035
20220208_109_AChMut_RvR_001,109,1,12.82015,338646.0,2.49289499035643,4.14670434360483
20220208_109_AChMut_RvR_001,109,1,10.4892,337318.0,2.4884479238182,4.14832412949667
20220208_109_AChMut_RvR_001,109,1,12.320657142857144,336457.0,2.499952436967215,4.15598878092261
20220208_109_AChMut_RvR_001,109,1,11.321685714285714,332232.0,2.494537656610615,4.1508146179696155
